English;Czech;
Minimum can't be higher than maximum.;Minimum nemůže být větší jak maximum.;
Minimum and maximum x can't be same.;Minimum nemůže býýt stejné jako maximum.;
Function won't be plotted because x's range is outside of drawing canvas.;Funkce nebude vykreslena, protože rozsah x je mimo vyditelnou plochu.;
cannot be empty.;nemůže být prázdné.;
begins with invalid character.;začíná nevalidním znakem.;
ends with invalid character.;končí nevalidním znakem.;
cannot contain more than one minus or comma.;nemůže obsahovat více než jednom mínus nebo čárku.;
cannot contain comma and minus side by side.;nemůže obsahovat čárku a mínus vedle sebe.;
cannot contains two operations in row.;nemůže obsahovat 2 operace za sebou.;
requires brackets after power or nth root.;požaduje závorku po znaku mocniny nebo odmocniny.;
cannot contain closing bracket before opening bracket.;nemůže obsahovat koncovou závorku bez otevírací.;
cannot contain opening bracket without closing one.;nemůže obsahovat otevírací závorku bez koncové.;
cannot contain empty brackets.;nemůže obsahovat prázdné závorky.;
cannot contain operation after opening bracket execpt minus and nth root.;nemůže obsahovat operaci po otevírací závorce kromě mínusu nebo odmocniny.;
cannot contain closing bracket after operation.;nemůže obsahovat operaci a za ní uzavírající závorku.;
cannot contain nth root with index zero.;nemůže obsahovat odmocninu s indexem nula.;
cannot contain anything other than a number before the comma.;nemůže obsahovat před čárkou něco jiného než číslo.;
cannot contain anything other than a number after the comma.;nemůže obsahovat po čárce něco jiného než číslo.;
cannot contain number with two or more commas.;nemůže obsahovat číslo se dvěma nebo více čárkami.;
contains unknown expression.;obsahuje neznámý výraz.;
requires brackets after trigonometric expression.;požaduje závroku za trigonemtrickým výrazem.;
contains badly written arcus. Please use button or shortcut for correct format.;obsahuje špatně napsaný arcus. Prosím použijte tlačítko nebo zkratku pro zprávný zápis.;
requires number before degree character.;požaduje číslo před znakem stupňů.;
contains odd count of absolute value characters.;obsahuje lichý počet znaků absolutní hodnoty.;
cannot contain only operation in absalute value.;nemůže obsahovat v absolutní hodnotě pouze operaci.;
cannot contain empty absolute value.;nemůže obsahovat prázdnou absolutní hodnotu.;
After the inversion, it was no longer a function. Try to limit x range;Po inverzi se už nejdná of funkci. Zkuset rozsah x omezit;
Function's graph doesn't have valid points.;Graf funkce nemá validní body.;